
Introduction,,,,,,
"Pearson have provided this large data set, which will support the assessment of Statistics in the A level Mathematics Paper 3 and AS Mathematics Paper 2. Students are required to become familiar with the data set in advance of the final assessment.",,,,,,
"To support the use of the large data set in the teaching of the statistics content, tasks
such as:
● selecting a sample
● cleaning the data
● creating diagrams from the data
● calculating summary statistics such as mean, standard deviation
● calculating regression equations and correlation coefficients where applicable
● hypothesis testing,
must be carried out by students during their course of study. Students should use technology such as spreadsheets or other statistical packages to explore the data.",,,,,,
See the specifications A level Mathematics (9MA0) and AS Mathematics (8MA0) for further information,,,,,,

Data set source,,,,,,
"The data set consists of weather data samples provided by the Met Office for five UK weather stations and three overseas weather stations in the time periods May to October 1987 and May to October 2015. The weather stations are labelled on the maps shown: 
• in the UK - Camborne, Heathrow, Hurn, Leeming and Leuchars
• overseas - Beijing, Jacksonville and Perth
Further information around our data source can be accessed at http://www.metoffice.gov.uk/",,,,,,

Dataset variables and explanatory notes,,,,,,
The Met Office provides data for a number of different weather variables. Our data set includes data for eleven variables recorded across the weather stations during the set periods of time:,,,,,,
"Daily Mean Temperature
Air temperatures are recorded by thermometers in a louvered screen 1.25 metres above short grass,  except at some Weather Centre’s and Climate Data Logger stations,  where observations are made from a non-standard roof top exposure.  
Values are noted in degrees and tenths (Degrees Celsius) and values below 0 Deg C are preceded by a minus sign. A reading which is not available is listed as ‘n/a’. 
The daily mean air temperature (0900-0900 GMT) is the average of the hourly temperature readings during this period.",,,,,,
"Daily Total Rainfall
Daily totals refer to 24 hour periods commencing at 0900 Greenwich Mean Time (1000 British Summer Time) on the day of entry and includes any solid precipitation, such as snow or hail, which is melted and measured in the same way as rainfall.
A ‘trace or tr’ of rain is an amount less than 0.05mm. A reading which is not available will be shown by ‘n/a’.  All totals are in millimetres (mm).",,,,,,
"Daily Total Sunshine
At most Met Office stations sunshine is measured by an instrument that measures the amount of solar radiation exceeding a threshold.
Sunshine amounts are recorded in hours and tenths and show the amount of bright sunshine recorded on the day of entry. A reading which is not available is listed as ‘n/a’.",,,,,,
"Daily Maximum Relative Humidity
The relative humidity is a measure of how close the air is to being saturated with water vapour.  Relative humidities of above 95% are associated with mist and fog. A reading which is not available is listed as ‘n/a’.",,,,,,
"Daily Mean Windspeed,  Daily Maximum Gust, Daily Mean Wind Direction and Daily Maximum Gust  Direction
● Wind speeds are given in knots (1 knot = 1.15mph). 
The daily mean speed is averaged over the 24 hours from 0000GMT on the date given.
● The maximum gust speed is the maximum instantaneous speed that occurred during the 24 hours from 0000GMT on the date given. Readings for both variables which are not available are listed as ‘n/a’.
● The ​daily mean wind direction is averaged over the 24 hours from 0000GMT on the date given, ​rounded to the nearest 10 degrees
● The direction of the maximum gust is that direction from which the wind was blowing when the maximum gust during the hour commencing at the time of entry occurred, and is measured in degrees from true north.

For all locations, the speed of the wind is also categorised according to the Beaufort scale. For the UK locations, the wind and gust direction measurements are also listed as cardinal directions.",,,,,,
"Cloud cover
Cloud cover is measured in eighths (Oktas).
Cloud cover is the fraction of the celestial dome covered by cloud.",,,,,,
"Visibility
Visibility is defined as the greatest distance at which an object can be seen and recognized in daylight, or at night could be seen and recognized if the general illumination were raised to daylight level. It is measured using visiometer at automatic sites but used to be done by observers at manual stations except at some Weather Centres and Climate Data Logger stations, where observations are made from a non-standard roof top exposure.  
Visibility is measured horizontally.
Values are noted in decametres (Dm) 
A dash indicates data not available.",,,,,,
"Pressure
• The mean sea level pressure has been calculated from a measurement made at station level.
• Units - the pressure unit used in meteorology was previously the millibar (one bar = 1000 millibars). However, this has been replaced by the SI unit of pressure — the pascal (Pa).  
One hectopascal (hPa) = 1 millibar (mb).",,,,,,

Suggested activities for students,,,,,,
"Students are required to become familiar with the dataset prior to being assessed in Statistics. Below are a list of suggested activities for students to undertake, using the data-set, during their course of study.
1. Calculate the mean and standard deviation for some of these variables at one location and compare with another location or time.
2. Is there any correlation between average rainfall in 1987 and average rainfall in 2015 for the 6 months available for any of the weather stations?
3. Explore correlations and linear regression between variables such as temperature and hours of sunshine.
4. Explore whether or not the data available gives any evidence of global warming.
5. Use the data to generate suitable graphs.",,,,,,

"Pearson Edexcel Level 3 Advanced GCE in Mathematics Specification – Issue 1 – July 2017 – © Pearson Education Limited 2017
",,,,,,
CAMBORNE                                   © Crown Copyright  Met Office 2015,,,,,,,,,,,,,,
NGR = 1627E 4067N,,,,,,,,,,,,,,
Altitude = 87 metres,,,,,,,,,,,,,,
Latitude = 50:22N Longitude = 05:33W,,,,,,,,,,,,,,

Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity %,Daily Mean Total Cloud (oktas),Daily Mean Visibility (Dm),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
01/05/1987,10.7,3.1,n/a,n/a,n/a,n/a,100,7,2000,1018,360,N,20,NNE
02/05/1987,8.9,0.1,n/a,n/a,n/a,n/a,91,3,3200,1020,320,NW,330,NNW
03/05/1987,8.1,0,n/a,n/a,n/a,n/a,77,5,3600,1029,350,N,350,N
04/05/1987,8.2,0,n/a,n/a,n/a,n/a,83,5,4100,1036,350,N,350,N
05/05/1987,9.8,0,n/a,n/a,n/a,n/a,86,5,2700,1036,10,N,10,N
06/05/1987,9.3,0,n/a,n/a,n/a,n/a,100,1,1000,1033,330,NNW,340,NNW
07/05/1987,10.9,0,n/a,n/a,n/a,n/a,100,3,600,1031,350,N,350,N
08/05/1987,10.5,tr,n/a,n/a,n/a,n/a,89,1,2400,1025,110,ESE,110,ESE
09/05/1987,10.9,0,n/a,n/a,n/a,n/a,95,3,900,1017,360,N,NA,#N/A
10/05/1987,9.9,0,n/a,n/a,n/a,n/a,79,4,4100,1018,10,N,10,N
11/05/1987,8.8,6,n/a,n/a,n/a,n/a,95,7,2500,1017,270,W,260,W
12/05/1987,10.2,tr,n/a,n/a,n/a,n/a,97,5,2400,1009,310,NW,310,NW
13/05/1987,9.2,2.2,n/a,n/a,n/a,n/a,77,4,4600,1016,340,NNW,340,NNW
14/05/1987,10.2,tr,5.9,16,Moderate,35,95,7,3100,1008,290,WNW,270,W
15/05/1987,9.6,0,12.3,13,Moderate,27,77,4,4500,1012,10,N,10,N
16/05/1987,8.7,tr,11.6,6,Light,16,92,4,3700,1015,290,WNW,290,WNW
17/05/1987,9.7,tr,0,7,Light,19,93,8,2900,1014,300,WNW,250,WSW
18/05/1987,10.4,0,4.1,14,Moderate,27,86,6,2300,1015,350,N,360,N
19/05/1987,9.5,0,4.4,8,Light,17,96,4,1900,1024,360,N,360,N
20/05/1987,11.1,0,11.9,6,Light,15,99,3,1600,1031,350,N,360,N
21/05/1987,10.5,0,11.3,12,Moderate,26,87,4,2700,1030,10,N,360,N
22/05/1987,11.1,0.3,7.8,11,Moderate,27,87,6,2600,1023,10,N,10,N
23/05/1987,9.8,0,10.8,11,Moderate,27,87,4,1400,1018,90,E,90,E
24/05/1987,10.2,4.2,5.1,16,Moderate,32,94,6,1000,1013,90,E,90,E
25/05/1987,12.6,1.7,10.7,13,Moderate,35,86,6,2500,1016,170,S,160,SSE
26/05/1987,10.4,7.5,0,7,Light,22,95,7,1500,1015,40,NE,90,E
27/05/1987,11.3,0.1,0,9,Light,21,98,8,500,1017,320,NW,360,N
28/05/1987,12.1,0,5.5,8,Light,19,96,6,1600,1023,290,WNW,280,W
29/05/1987,12.0,tr,0,7,Light,20,99,7,1500,1026,210,SSW,210,SSW
30/05/1987,11.6,7.1,0,11,Moderate,28,99,7,900,1021,200,SSW,200,SSW
31/05/1987,12.7,0,8.6,9,Light,19,98,7,1400,1023,280,W,280,W
01/06/1987,12.7,9,0.1,6,Light,16,94,7,1900,1024,280,W,280,W
02/06/1987,12.8,3.9,1.4,13,Moderate,29,99,8,1100,1015,170,S,180,S
03/06/1987,13.5,3.1,4.1,12,Moderate,25,98,7,1300,1008,220,SW,240,WSW
04/06/1987,13.5,0.1,6.6,6,Light,14,96,6,1600,1008,290,WNW,280,W
05/06/1987,11.9,25.9,0,15,Moderate,38,97,8,1200,1005,190,S,200,SSW
06/06/1987,12.4,0.2,8.1,17,Fresh,40,90,6,2200,1005,240,WSW,240,WSW
07/06/1987,11.2,2.9,9.6,10,Light,21,91,6,2800,1009,310,NW,260,W
08/06/1987,10.2,0.4,0.3,12,Moderate,24,92,7,2500,1010,330,NNW,330,NNW
09/06/1987,10.3,1,9.9,6,Light,16,86,6,4100,1007,330,NNW,320,NW
10/06/1987,9.3,tr,8.2,3,Light,10,90,5,5300,1008,190,S,290,WNW
11/06/1987,10.8,1.3,6.4,3,Light,n/a,93,6,3900,1015,220,SW,300,WNW
12/06/1987,10.3,0,9.3,4,Light,11,89,4,3000,1020,190,S,310,NW
13/06/1987,10.4,0.8,10.8,7,Light,15,83,4,4300,1018,10,N,10,N
14/06/1987,9.8,11.1,7.1,5,Light,17,91,7,4300,1013,190,S,160,SSE
15/06/1987,10.4,0.2,2.1,8,Light,20,92,6,2100,1012,90,E,360,N
16/06/1987,11.8,2,7.9,8,Light,19,87,6,2500,1021,290,WNW,270,W
17/06/1987,12.7,0.2,1.1,10,Light,19,95,8,1700,1020,290,WNW,290,WNW
18/06/1987,12.5,9,0,12,Moderate,31,99,8,900,1014,260,W,190,S
19/06/1987,12.4,tr,8.3,13,Moderate,29,95,6,1300,1005,330,NNW,270,W
20/06/1987,12.4,tr,1.5,7,Light,18,98,6,2100,1015,280,W,280,W
21/06/1987,13.7,2.2,10.2,6,Light,14,95,5,2100,1019,280,W,290,WNW
22/06/1987,13.6,0.8,0,11,Moderate,26,99,8,1000,1022,270,W,270,W
23/06/1987,14.4,0.7,1.2,10,Light,20,99,8,1100,1024,270,W,270,W
24/06/1987,14.3,tr,2.5,7,Light,15,99,8,400,1023,290,WNW,280,W
25/06/1987,14.3,3.2,0.1,8,Light,20,98,8,1300,1018,220,SW,240,WSW
26/06/1987,14.0,10.7,0.6,10,Light,24,100,8,1400,1015,270,W,180,S
27/06/1987,15.2,0.4,0,7,Light,15,100,8,200,1016,230,SW,200,SSW
28/06/1987,15.8,0.5,0,9,Light,21,100,8,0,1021,190,S,190,S
29/06/1987,16.3,0.2,2.3,6,Light,15,99,7,1000,1022,180,S,170,S
30/06/1987,14.2,tr,3.1,6,Light,15,96,6,2700,1024,280,W,270,W
01/07/1987,12.7,0,13.9,5,Light,12,97,3,3600,1025,320,NW,290,WNW
02/07/1987,13.4,0,12,4,Light,12,97,3,4300,1026,20,NNE,360,N
03/07/1987,15.3,0,15,6,Light,19,91,3,2500,1026,110,ESE,110,ESE
04/07/1987,16.6,0,15.4,4,Light,13,73,3,1800,1026,90,E,90,E
05/07/1987,17.8,0,15.1,5,Light,15,69,3,1800,1022,70,ENE,90,E
06/07/1987,16.0,0,12.2,6,Light,15,95,3,900,1020,330,NNW,340,NNW
07/07/1987,16.1,0,6.5,7,Light,16,95,5,2300,1021,360,N,360,N
08/07/1987,15.3,0,15.2,5,Light,13,90,2,4600,1024,350,N,360,N
09/07/1987,13.7,0,1.6,4,Light,12,93,6,4900,1025,200,SSW,200,SSW
10/07/1987,18.2,0.1,11.8,7,Light,16,93,4,3900,1022,180,S,180,S
11/07/1987,16.8,0,9.7,10,Light,19,99,5,2400,1017,290,WNW,290,WNW
12/07/1987,16.0,0,9.7,6,Light,14,94,4,3600,1020,290,WNW,300,WNW
13/07/1987,15.7,9.4,11.4,3,Light,9,94,4,2800,1019,350,N,150,SSE
14/07/1987,16.7,3,3,3,Light,n/a,98,7,700,1013,290,WNW,NA,#N/A
15/07/1987,16.8,5.6,6.4,10,Light,28,97,7,2400,1007,190,S,180,S
16/07/1987,15.3,1.4,4.9,6,Light,18,95,6,3500,1003,210,SSW,230,SW
17/07/1987,13.9,3.5,4.5,5,Light,n/a,95,7,3000,999,320,NW,330,NNW
18/07/1987,14.0,13.3,6.1,6,Light,n/a,96,7,2600,1002,260,W,260,W
19/07/1987,14.3,1.4,1,12,Moderate,28,99,8,1000,1001,310,NW,340,NNW
20/07/1987,15.4,tr,12.9,12,Moderate,24,93,4,1000,1015,350,N,350,N
21/07/1987,15.0,tr,5,10,Light,19,97,6,1700,1020,350,N,10,N
22/07/1987,15.6,0,6.8,8,Light,20,95,5,900,1021,10,N,20,NNE
23/07/1987,15.9,0,5.6,7,Light,17,98,6,600,1022,360,N,360,N
24/07/1987,15.1,tr,0.7,8,Light,17,97,7,1100,1023,360,N,10,N
25/07/1987,14.9,0,9.6,10,Light,23,88,6,4100,1025,360,N,360,N
26/07/1987,15.4,tr,2.9,10,Light,21,97,6,2600,1025,320,NW,280,W
27/07/1987,16.6,tr,1.3,12,Moderate,23,98,7,1300,1022,290,WNW,310,NW
28/07/1987,16.7,0.1,0.5,10,Light,20,98,7,1600,1021,310,NW,290,WNW
29/07/1987,16.5,0,5.9,12,Moderate,25,100,7,1800,1016,330,NNW,280,W
30/07/1987,15.8,tr,2.6,11,Moderate,22,96,6,3400,1021,350,N,360,N
31/07/1987,16.9,tr,1,11,Moderate,24,100,8,500,1022,290,WNW,290,WNW
01/08/1987,16.8,1.1,7.1,12,Moderate,28,98,6,2100,1021,270,W,NA,#N/A
02/08/1987,16.7,2.2,4.3,12,Moderate,30,98,8,700,1017,270,W,270,W
03/08/1987,15.8,0,8.9,10,Light,26,100,6,2500,1016,260,W,260,W
04/08/1987,14.4,0,13.3,6,Light,19,95,4,6300,1023,360,N,10,N
05/08/1987,13.9,0,12.9,6,Light,16,89,2,6200,1025,20,NNE,10,N
06/08/1987,14.0,1.8,11.9,7,Light,19,80,4,4700,1018,10,N,10,N
07/08/1987,13.8,0,2.2,3,Light,n/a,93,7,3900,1014,350,N,30,NNE
08/08/1987,12.6,0.1,0.2,4,Light,13,93,5,3800,1017,340,NNW,340,NNW
09/08/1987,14.5,0,9.8,7,Light,18,91,5,2800,1018,320,NW,320,NW
10/08/1987,14.2,1.5,12.5,5,Light,16,92,4,4200,1020,200,SSW,270,W
11/08/1987,15.0,4,0,11,Moderate,28,97,8,1500,1017,180,S,180,S
12/08/1987,16.1,1,8.8,7,Light,20,99,6,3000,1016,190,S,220,SW
13/08/1987,17.8,0.5,1.3,10,Light,23,100,7,1700,1014,210,SSW,220,SW
14/08/1987,16.0,0,11.3,6,Light,15,98,4,4100,1018,270,W,270,W
15/08/1987,16.6,0,12.6,4,Light,n/a,98,2,4900,1021,170,S,180,S
16/08/1987,16.9,tr,8.9,4,Light,13,95,4,2600,1018,140,SE,360,N
17/08/1987,17.9,0.5,8.7,5,Light,17,97,6,2900,1015,290,WNW,290,WNW
18/08/1987,17.9,0.2,3.6,7,Light,19,99,7,3100,1018,260,W,280,W
19/08/1987,17.9,0.4,1.9,8,Light,20,99,7,1800,1019,170,S,190,S
20/08/1987,18.6,tr,4.5,13,Moderate,29,97,7,1300,1015,190,S,180,S
21/08/1987,18.9,7.5,0.1,7,Light,19,97,8,1000,1013,180,S,180,S
22/08/1987,17.4,0,3.4,5,Light,15,98,7,1900,1010,300,WNW,310,NW
23/08/1987,15.6,1.1,12.3,8,Light,21,91,4,4200,1010,350,N,360,N
24/08/1987,16.0,tr,3.2,10,Light,24,90,6,2000,1013,340,NNW,340,NNW
25/08/1987,15.9,5.5,11.9,10,Light,26,90,5,3000,1014,320,NW,300,WNW
26/08/1987,14.2,2.7,3.4,15,Moderate,31,94,6,3000,1011,350,N,260,W
